French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
French: Sans téléphone pas d'instragram, sans instagram pas de publicité pour nos bons petits plats ! = English: No telephone no instagram, no instagram no advertising for our lovely little dishes!	Est-ce que tu penses qu'on doit prévoir beaucoup de nourriture ou juste des boissons et des trucs à grignoter ? Prévoir beaucoup de nourriture rend tout plus compliqué.	Pensez-vous qu'il faut fournir beaucoup de nourriture, ou juste des boissons et des encas? Fournir beaucoup de nourriture rend les choses plus compliquées.
English: It's a special recipe. = French: C'est une recette spéciale.	Décorations, nourriture, musique, et tout le reste.	Décorations, nourriture, musique et tout le reste.
French: Envoyez ça en salle. = English: Send it into the dining room.	Elle m'appelle par le nom de mon frère et je dois hurler et me répéter.	Elle m'appelle par le nom de mon frère, et je dois crier et répéter sans cesse
English: But we should probably be heading back soon. = French: Mais on devrait probablement rentrer bientôt.	Calmez-vous, crier ne servira à rien.	calmez-vous, crier ne vous aidera pas.
English: Your comment WAS offensive. = French: Ta remarque était vraiment désobligeante.	Oui, je viens juste de rentrer de ma lune de miel à Hawaï.	Oui, je viens juste de rentrer de mon voyage de noces à Hawaii.
English: not those horrible french fries! = French: Pas en horribles frites à l'américaine.	Tu aimerais peut-être ça avant de passer du rock.	Peut-être aimeriez-vous ça avant la musique rock.
French: ça tangue beaucoup trop là, et les hotesses ont pas l'air à l'aise. = English: It's pitching far too much to this side and the stewardesses look a little uneasy.	J'ai entendu dire qu'on pouvait parfois voir des oiseaux magnifiques si on a de la chance.	je sais que vous pouvez même voir des beaux oiseaux si vous êtes chanceux.
English: Let us hope he will be ok, long term = French: Espérons qu'il ira bien à long terme.	Tu as parlé de moi dans mon dos.	Tu m'as parlé derrière mon dos.
English: Oooh I love cookies, yes please. = French: Oh, j'adore les cookies, volontiers !	Cela peut être utile pour battre à votre tour votre mère.	Il pourrait être utile de battre votre mère en arrière.
English: Do you want a scarf? = French: Tu veux une écharpe ?	Je ferai en sorte que ça n'arrive pas, chef.	Je ne laisserai pas cela arriver chef.
English: But you do seem a bit unrealistic. = French: Mais tu ne m'as pas l'air très réaliste.	Qu'est-ce que tu proposes, alors ?	Alors, que suggères-tu?
French: En plus, pas le temps de faire la sieste vu la charge de travail, c'est un scandale ! = English: And no time to take a nap given the workload - it's an outrage!	C'est génial !	C'est incroyable!
French: Ils devraient pouvoir nous dépanner. = English: They should be able to help us out.	Ah ça oui, je m'en souviens !	Oh oui, je me souviens de ça!
English: Perhaps you could put a cabbage leaf on top of your head? = French: Vous pourriez peut-être mettre une feuille de chou sur votre tête.	Très bien, je vous remercie.	Très bien, merci.
English: We can enjoy them with a glass or two of wine. = French: On peut les prendre avec un verre de vin ou deux.	Vous n'êtes pas un bébé !	Tu n'es pas un bébé!!
French: En attendant, nous pourrions parler de nos futurs projets. = English: Whilst we're waiting, we could talk about our future projects.	Et les infirmières n'arrêtent pas de me déranger à chaque fois que je pique du nez.	Et les infirmières me réveillent à chaque fois que je m'endors
English: I was smoking by my favourite tree and then all of a sudden I'm here with you. = French: J'étais en train de fumer à côté de mon arbre préféré, et puis d'un seul coup je me retrouve ici avec vous.	Avez-vous déjà essayé le karaoké ?	Vous chantez aussi au karaoké?
English: Everything will seem better after a nice warm drink. = French: Tout ira mieux après une bonne boisson chaude.	Hmm... Ça va.	Hum hum. Ça ira.
French: J'exige de la considération et du respect mutuel dans un couple. = English: I demand esteem and mutual respect in a couple.	Il y en avait pas mal.	Il y en avait quelques-uns.
English: Just sear it until its brown and caramalised then put in a casserole with carrots, celery, some seasoning and cover with stock = French: Saisis-le simplement jusqu'à ce qu'il soit brun et caramélisé et mets-le dans une cocotte avec des carottes, du céleri, un peu de condiments et couvre-le de bouillon.	J'ai les yeux fermés.	J'ai les yeux fermés.
French: C'est quoi l'entrée et le plat du jour, ce soir, chef? = English: What's the starter and today's special this evening, chef?	Nos bureaux sont au quatre-centième étage et je dois prendre les escaliers chaque jour.	Notre bureau est au quatrième étage et je dois prendre les escaliers tous les jours.
French: C'est vrai? = English: Really?	On essaye ?	On essaye?
English: I think I may try and sleep now after the champagne = French: Je crois que je vais essayer de dormir maintenant, après le champagne.	Rien ne se passe.	Rien ne se passe.
English: And Gerard might come along. = French: Et Gerard pourrait venir.	J'essaie de donner plus aux canards et aux cygnes qu'à ces mouettes goinfres.	Je tente de donner plus aux canards et aux cygnes qu'aux goélands avides.
English: I’m not sure I remember it. = French: Je ne suis pas sûre que je m'en souvienne.	Je n'ose pas dire autoritaire.	Je ne peux pas dire autoritaire.
English: Last time I was on my own = French: La dernière fois j'étais toute seule.	Il vient souvent au Royaume-Uni mais ses enfants sont trop petits pour voyager souvent.	Il vient souvent en Angleterre mais ses enfants sont trop petits pour voyager beaucoup.
English: I've got most people in email so that would be the quickest way. = French: J'ai les e-mails de la plupart des gens, c'est ce qui ira le plus vite.	Je peux t'aider à organiser plein d'autres choses.	Je peux vous aider à organiser beaucoup d'autres choses.
English: You have been talking to the nurses. = French: Tu as parlé aux infirmières.	Je n'ai pas de téléphone.	Je n'ai pas de téléphone.
French: Mais si on a une bonne raison de devoir lui parler, elle est toujours prête à discuter. = English: But if you have a good reason to need to speak to her, she's always willing to talk.	Je n'avais pas trop le choix, vous trouvez pas ?	Je n'avais pas vraiment le choix, n'est-ce pas?
French: Ah non, vous n'allez pas chanter! = English: Oh no, you're not going to sing, are you?	Oui, recommencez.	Oui, recommencez.
English: Poker, pontoon! = French: Le poker, le trente-et-un !	Pour moi il n'y a rien de pire qu'un groupe nul qui joue toute la nuit.	Je ne peux pas penser à quelque chose de pire qu'un groupe de merde qui joue toute la nuit.
English: Do I have to lie down? = French: Je dois m'allonger ?	La daurade est un petit poisson blanc, un peu comme le bar je crois.	Le bar est un poisson blanc, un peu comme le bar rayé je suppose.
French: Je comprends mieux ! = English: I understand better now!	Tu n'as qu'à y aller.	Tu y vas
French: et le jour de l'expérimentation, dix minutes d'expérience, et dix minutes de présentation orale avec des diapositives. = English: And on the day of the experiment, ten minutes of experimentation and ten minutes for your oral presentation with slides.	Super drôle !	beaucoup de plaisir!
French: Tu as laissé la voiture au boulot ? = English: Did you leave your car at work?	Vous parlez tout le temps d'être « plus productif » et « plus efficace ».	tu n'arrêtes pas de parler de productivité et d'efficacité
English: They have a special exihibition at the moment on Vincent Van Gogh. = French: Ils ont une exposition temporaire en ce moment sur Vincent Van Gogh.	Ou bien tu es inquiet par rapport aux voisins ?	Ou est-ce que vous vous inquiétez des voisins?
French: Veux tu aussi des betteraves avec ? = English: Do you want beetroot with that too?	Je ne comprends pas ce que je dois faire.	Je ne comprends pas vraiment ce que je dois faire.
English: Have you had any thoughts? = French: Tu as des idées ?	Les criminels habituels à la Maison Blanche.	Les criminels habituels de la Maison Blanche.
French: J'ai juste un paquet de cigarettes. = English: I've just got a pack of cigarettes.	J'imagine qu'il a simplement regardé autour de lui, et voilà.	Je suppose qu'il a juste regardé autour de lui et il l'a trouvé.
French: Je crois que cela fait quatre heures que nous marchons sur ce chemin. = English: I think we've been walking for four hours on this path.	Bonjour Alice.	Bonjour Alice
French: il se repose beaucoup sur vous manifestement = English: He clearly counts on you a lot.	J'ai l'impression que je n'ai plus jamais de temps pour moi.	Je ne semble jamais avoir le temps pour moi.
French: Puis-je rajouter du céleri aussi ? = English: Can I add celery too?	Oh mon dieu, comment va le cycliste ?	Oh mon dieu, comment va le cycliste?
French: Je suis très inquiet face à la disparition des abeilles... = English: I'm very worried about the disappearance of bees...	Laissez-moi me présenter.	Je vais vous présenter
French: Si, bien sûr! = English: Yes, of course!	Nous avons exploré des volcans sur l'île, nous nous sommes allongés sur la plage et nous avons profité de magnifiques couchers de soleil.	Nous avons exploré les volcans de l'île, nous sommes allongés sur la plage et avons profité des magnifiques couchers de soleil.
French: Vous assurez la commercialisation de quelle type d'huile . = English: What type of oil do you market?	N'est-ce pas ?	Ne le faites-vous pas?
English: I'm very excited to see her. = French: Je suis très impatiente de la voir.	Alors on est face à un dilemme.	Alors nous avons un dilemme.
English: London has so few cycle lanes I would not cycle myself = French: Londres a tellement peu de pistes cyclables, moi je n'y ferais pas de vélo.	Comme je l'ai dit au début: très bien !	Comme je l'ai dit au début: super!
English: Let’s stamp our feet and shout loudly. = French: Tapons des pieds et crions fort.	Je vais prendre du vin rouge et oui, j'attends une amie.	Je vais prendre un vin rouge et oui, j'attends un ami.
French: Mais vous, ça ne vous stresse absolument pas? = English: But how about you? Doesn't it stress you out at all?	Dans ce cas, aujourd'hui tu peux me faire voir comment ne rien faire d'autre que rester assis au bord de la piscine à prendre le soleil.	dans ce cas, aujourd'hui vous pouvez me montrer comment ne rien faire d'autre que de rester à la piscine et de me baigner dans le soleil.
