French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: Ou plutôt, parmi les plats que tu leur fais préparer ! = English: Or should I say that you make them make!	Duck magret with lingonberry jam.	The duck breast with cranberry jam.
French: Faire du vélo est vraiment difficile, surtout en ville. = English: Cycling is so tricky, especially in a city	The car ran over his leg. He bled a lot.	The car ran over his leg, he bled a lot.
French: Je suis votre psychiatre. = English: I'm your psychiatrist.	When I listen to you and talk to you, it's for your psychological well-being, because that's my job.	When I listen to you and talk to you, it's for your psychological balance, because that's my job.
French: J'aime bien les cartes. = English: I like maps.	Which maps do you want us to work on?	On which maps would you like us to work?
French: Presque toutes les semaines pour mon travail. = English: Almost every week for work.	You'll see, the journey will be ok, I'm sure of it.	You will see, the trip will go well, I am sure of it!
French: c'est très bon. = English: It's very good.	And we could enjoy it with a glass of wine too, for example.	And we can enjoy it with wine for example.
French: d'accord ! = English: Ok!	Here's your sandwich!	Here is your sandwich!
French: Et je suis sûre qu'elle a roulé un patin à Leon derrière le placard à médicaments jeudi dernier. = English: And I'm sure she snogged Leon behind the medicine cupboard last Thursday.	That's a shame - we'll go without them then!	Oh well, we'll do without them!
French: Vous restez manger un morceau avec moi ou vous devez partir maintenant ? = English: Will you stay for some food or do you have to leave now?	We hadn't planned that I stay for dinner and you know that you have to tell them in advance.	We didn't plan that I would stay for dinner and you know that you have to tell me.
French: Je connais un mec qui connait un mec qui connait un musicien de rue, qui pourrait peut-être venir et jouer un peu de guitare. = English: I know a man who knows a man who knows a busker, who might be able to come along and play a bit of guitar.	I'd like to have male strippers... Do you think the barman would allow it?	I'd like to get some strippers... Do you think the barman would agree?
French: je le prends très souvent ! = English: I take it quite often!	Almost every week for work.	Almost every week for my work.
French: Bonsoir mon ami. = English: Good evening, my friend.	How are you this evening?	How are you tonight?
French: Chaque professeur est spécialiste d'une discipline. = English: Each teacher is specialist in a subject.	I agree with you that certain topics aren't dealt with enough.	I agree with you that some subjects are not enough treated.
French: Essayons de marcher un peu plus vite pour nous réchauffer. = English: Let's try to walk a bit faster to keep warm.	I think I still have some hot water in my bag.	I think I still have some hot water in my bag.
French: Mais ce n'est pas ce que je voulais dire = English: But that's not what I meant.	Anyhow... you see what I mean.	Well, you see.
French: Ah oui pardon. = English: Ah yes, sorry.	I don't know by heart where all the ingredients are yet...	I don't know yet by heart the location of all the ingredients...
French: Ça va merci beaucoup. = English: Very well thank you.	I don't really know, to be honest.	I don't know, to be honest.
French: Ou bien veux-tu m'en parler un petit moment ? = English: Or do you want to tell me about it for a limited amount of time?	Nothing serious, it'll pass.	nothing serious, it will pass
French: C'est assez intime, un peu éloigné du reste des clients = English: It's quite intimate, slightly removed form the other customers.	We only have local beer. The wine comes from Bordeaux or from Côtes du Rhône.	We only have local beer, wine comes from Bordeaux or the Rhone Valley.
French: Peut-être que oui... Ils ont quels parfums? = English: It might be... What flavours do they have?	I take the plane every week.	I take the plane every week.
French: Un barbecue ou quelque chose de plus sophistiqué ? = English: Barbecue or something more sophisticated?	Oh no, it's just us!	Oh no, we're just us!
French: On fait toujours ce que tu veux. = English: We always do what you want to do.	We'll go into town tomorrow.	We will go to town tomorrow.
French: je me lave immédiatement les mains ! = English: I'll wash my hands straight away!	What do you want us to prepare next for this evening's menu?	What would you like us to prepare for the menu for tonight?
French: Vous savez, vous ne m'écoutez pas vraiment plus que lui depuis toujours... Je pense que c'est pour ça que j'ai toujours été si attaché à vous. = English: You know, you don't really listen to me any more than he ever did... I think that's why I've always been so attached to you.	Careful, I'm just your psychiatrist!	Attention, I'm only your psychiatrist!
French: Ça a ruiné l'économie allemande, et a conduit indirectement à la seconde guerre mondiale. = English: It ruined the German economy and indirectly led to the second world war.	In the aftermath of the second world war, the victors understood as a result that they mustn't commit the same error again.	After the second world war, the victors understood from this that they should not repeat the same mistake.
French: Ma chérie je pense que ton fois souffre déja. = English: My dear, I think your liver is already suffering.	Mine too for that matter.	Mine too, by the way.
French: ça se marie bien il me semble. = English: They go well together I think.	Don't you think?	Don't you think so?
French: J'en ai parlé au conseil mais ils mettent juste ça sur le dos du temps. = English: I’ve spoken to the council, but they just blame the weather.	Ah, bosses are all the same.	Ah, the bosses, always the same.
French: Oui je pensais plutôt au bouton d'alarme. = English: Yes I was thinking more about the alarm button.	I don't have the number of anyone who could help us.	I don't have the number of anyone who could help us.
French: Ce serait comme un pousse-pousse ! = English: It would be like a rickshaw!	And how would that make me look?	And I'd look like what!
French: Et tu sais à quel point j'aime le beurre, le fromage et les plats riches et goûteux. = English: And you know how much I like butter and cheese and rich, tasty foods	Yes!	Yes!
French: Alors laissez-nous le faire. = English: so let us do it	Listen carefully:	Listen to me carefully:
French: Tiens, les petits canetons arrivent en file indienne! = English: Look, the little ducklings are coming in single file!	I don't even think I really know what ducks eat in the wild.	I am not even sure I know what ducks eat in the wild.
